,A_Price,B_Price,A_PI,B_PI,CONS_1,CONS_2
0,1.5859402247774006,1.7742961660220458,0.35263456425659057,0.21936679503381676,1.4729266600306137,1.4729266600306137
10000,1.5859402247774006,1.8119673542709749,0.36718611795801503,0.20602606528831713,1.4729266600306137,1.4729266600306137
20000,1.5859402247774006,1.7366249777731166,0.33710258669524207,0.23194712071022894,1.4729266600306137,1.4729266600306137
30000,1.5859402247774006,1.8496385425199038,0.3806982477790702,0.19225200276833765,1.4729266600306137,1.4729266600306137
40000,1.962652107266691,1.4352554717816846,0.09525490384660858,0.3550945533685962,1.4729266600306137,1.4729266600306137
50000,1.8119673542709749,1.7366249777731166,0.28761857721565753,0.3527019977603548,1.4729266600306137,1.4729266600306137
60000,1.5105978482795426,1.6989537895241877,0.31675831826724976,0.20412195934259805,1.4729266600306137,1.4729266600306137
70000,1.4729266600306137,1.6989537895241877,0.3098420153642828,0.18541532868469385,1.4729266600306137,1.4729266600306137
80000,1.5859402247774006,1.5482690365284717,0.2489669996340264,0.2708468248857,1.4729266600306137,1.4729266600306137
90000,1.5859402247774006,1.887309730768833,0.3931418250269303,0.17833587890473782,1.4729266600306137,1.4729266600306137
100000,1.7366249777731166,1.6612826012752586,0.27278125023866423,0.3310078431027143,1.4729266600306137,1.4729266600306137
110000,1.7366249777731166,1.6236114130263297,0.25224703341694077,0.33559721753215893,1.4729266600306137,1.4729266600306137
120000,1.5105978482795426,1.6989537895241877,0.31675831826724976,0.20412195934259805,1.4729266600306137,1.4729266600306137
130000,1.5482690365284717,1.9249809190177618,0.395643352359845,0.1479201572720669,1.4729266600306137,1.4729266600306137
140000,1.962652107266691,1.4729266600306137,0.10752565661475796,0.3746077620510428,1.4729266600306137,1.4729266600306137
150000,1.4729266600306137,1.5859402247774006,0.2690500391025014,0.21211330246106208,1.4729266600306137,1.4729266600306137
160000,1.962652107266691,1.9249809190177618,0.31835187553104466,0.3556414544324191,1.4729266600306137,1.4729266600306137
170000,1.9249809190177618,1.5482690365284717,0.1479201572720669,0.395643352359845,1.4729266600306137,1.4729266600306137
180000,1.4352554717816846,1.4352554717816846,0.20682553070048765,0.20682553070048765,1.4729266600306137,1.4729266600306137
190000,1.5482690365284717,1.5859402247774006,0.2708468248857,0.2489669996340264,1.4729266600306137,1.4729266600306137
200000,1.8496385425199038,1.4729266600306137,0.14019277582963643,0.35212818961899717,1.4729266600306137,1.4729266600306137
210000,1.6236114130263297,1.6612826012752586,0.2995232956654548,0.27318829671547956,1.4729266600306137,1.4729266600306137
220000,1.7742961660220458,1.6989537895241877,0.28083357067008363,0.3426679530808011,1.4729266600306137,1.4729266600306137
230000,1.7366249777731166,1.4729266600306137,0.17455168745436303,0.3217824134888718,1.4729266600306137,1.4729266600306137
240000,1.4352554717816846,1.5859402247774006,0.2635088947643421,0.19415032698666523,1.4729266600306137,1.4729266600306137
250000,1.6236114130263297,1.5859402247774006,0.2615244487749342,0.28568873143519924,1.4729266600306137,1.4729266600306137
260000,1.5105978482795426,1.7366249777731166,0.33024926590988624,0.19291232766261432,1.4729266600306137,1.4729266600306137
270000,1.5482690365284717,1.6236114130263297,0.2879620686223454,0.24231065205340752,1.4729266600306137,1.4729266600306137
280000,1.4352554717816846,1.5482690365284717,0.2500351955978522,0.20041303063995036,1.4729266600306137,1.4729266600306137
290000,1.8496385425199038,1.6236114130263297,0.2114713402897956,0.383336971794079,1.4729266600306137,1.4729266600306137
300000,1.4352554717816846,1.6236114130263297,0.2763159752474207,0.18636657592506103,1.4729266600306137,1.4729266600306137
310000,1.6236114130263297,1.5859402247774006,0.2615244487749342,0.28568873143519924,1.4729266600306137,1.4729266600306137
320000,1.5859402247774006,1.8119673542709749,0.36718611795801503,0.20602606528831713,1.4729266600306137,1.4729266600306137
330000,1.887309730768833,1.6236114130263297,0.19680711983669102,0.3971645829174861,1.4729266600306137,1.4729266600306137
340000,1.4729266600306137,1.7366249777731166,0.3217824134888718,0.17455168745436303,1.4729266600306137,1.4729266600306137
350000,1.962652107266691,1.887309730768833,0.2996171570871174,0.3732980065906081,1.4729266600306137,1.4729266600306137
360000,1.9249809190177618,1.8119673542709749,0.27925647648089374,0.3852420796964866,1.4729266600306137,1.4729266600306137
370000,1.7366249777731166,1.887309730768833,0.3885100444735661,0.25613258216711365,1.4729266600306137,1.4729266600306137
380000,1.6236114130263297,1.5482690365284717,0.24231065205340752,0.2879620686223454,1.4729266600306137,1.4729266600306137
390000,1.5482690365284717,1.4729266600306137,0.21792448714600277,0.25409096534151626,1.4729266600306137,1.4729266600306137
400000,1.962652107266691,1.5482690365284717,0.13544020388424313,0.4046961537849659,1.4729266600306137,1.4729266600306137
410000,1.4729266600306137,1.4352554717816846,0.20705389779099725,0.22155186479368902,1.4729266600306137,1.4729266600306137
420000,1.6236114130263297,1.5105978482795426,0.22324206620324763,0.28725369851180493,1.4729266600306137,1.4729266600306137
430000,1.6989537895241877,1.6236114130263297,0.2635925098333703,0.31789358917133004,1.4729266600306137,1.4729266600306137
440000,1.6989537895241877,1.5859402247774006,0.24341292452193403,0.3206809444410617,1.4729266600306137,1.4729266600306137
450000,1.7742961660220458,1.6236114130263297,0.23953158407856437,0.3524812009601933,1.4729266600306137,1.4729266600306137
460000,1.6612826012752586,1.5482690365284717,0.2337085560458443,0.3045130476600539,1.4729266600306137,1.4729266600306137
470000,1.5105978482795426,1.4729266600306137,0.2216304105612898,0.23866334562394587,1.4729266600306137,1.4729266600306137
480000,1.4352554717816846,1.5482690365284717,0.2500351955978522,0.20041303063995036,1.4729266600306137,1.4729266600306137
490000,1.5859402247774006,1.6236114130263297,0.28568873143519924,0.2615244487749342,1.4729266600306137,1.4729266600306137
500000,1.6236114130263297,1.6236114130263297,0.28066655834355264,0.28066655834355264,1.4729266600306137,1.4729266600306137
510000,1.5482690365284717,1.5482690365284717,0.25334053771580883,0.25334053771580883,1.4729266600306137,1.4729266600306137
520000,1.4729266600306137,1.5859402247774006,0.2690500391025014,0.21211330246106208,1.4729266600306137,1.4729266600306137
530000,1.6236114130263297,1.5105978482795426,0.22324206620324763,0.28725369851180493,1.4729266600306137,1.4729266600306137
540000,1.5105978482795426,1.4352554717816846,0.20482047014204044,0.23600528656727496,1.4729266600306137,1.4729266600306137
550000,1.7366249777731166,1.8119673542709749,0.3527019977603548,0.28761857721565753,1.4729266600306137,1.4729266600306137
560000,1.8119673542709749,1.5482690365284717,0.18697109404607162,0.3625104394541331,1.4729266600306137,1.4729266600306137
570000,1.5105978482795426,1.5482690365284717,0.2551312419795833,0.23563338706551187,1.4729266600306137,1.4729266600306137
580000,1.4352554717816846,1.4352554717816846,0.20682553070048765,0.20682553070048765,1.4729266600306137,1.4729266600306137
590000,1.8496385425199038,1.5105978482795426,0.15649164543268637,0.3650143534932414,1.4729266600306137,1.4729266600306137
600000,1.6989537895241877,1.5482690365284717,0.22351838129363097,0.3203499986860943,1.4729266600306137,1.4729266600306137
610000,1.5105978482795426,1.4352554717816846,0.20482047014204044,0.23600528656727496,1.4729266600306137,1.4729266600306137
620000,1.4729266600306137,1.5482690365284717,0.25409096534151626,0.21792448714600277,1.4729266600306137,1.4729266600306137
630000,1.4729266600306137,1.9249809190177618,0.3679242907599425,0.11797738280546102,1.4729266600306137,1.4729266600306137
640000,1.4352554717816846,1.6236114130263297,0.2763159752474207,0.18636657592506103,1.4729266600306137,1.4729266600306137
650000,1.4352554717816846,1.5482690365284717,0.2500351955978522,0.20041303063995036,1.4729266600306137,1.4729266600306137
660000,1.5105978482795426,1.7742961660220458,0.34280733828285875,0.18104533609418008,1.4729266600306137,1.4729266600306137
670000,1.5482690365284717,1.5859402247774006,0.2708468248857,0.2489669996340264,1.4729266600306137,1.4729266600306137
680000,1.4729266600306137,1.5859402247774006,0.2690500391025014,0.21211330246106208,1.4729266600306137,1.4729266600306137
690000,1.5482690365284717,1.5482690365284717,0.25334053771580883,0.25334053771580883,1.4729266600306137,1.4729266600306137
700000,1.5105978482795426,1.5482690365284717,0.2551312419795833,0.23563338706551187,1.4729266600306137,1.4729266600306137
710000,1.4729266600306137,1.5859402247774006,0.2690500391025014,0.21211330246106208,1.4729266600306137,1.4729266600306137
720000,1.9249809190177618,1.4352554717816846,0.10472711401675519,0.3494707554842805,1.4729266600306137,1.4729266600306137
730000,1.4729266600306137,1.7366249777731166,0.3217824134888718,0.17455168745436303,1.4729266600306137,1.4729266600306137
740000,1.5105978482795426,1.5482690365284717,0.2551312419795833,0.23563338706551187,1.4729266600306137,1.4729266600306137
750000,1.5105978482795426,1.5482690365284717,0.2551312419795833,0.23563338706551187,1.4729266600306137,1.4729266600306137
760000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
770000,1.9249809190177618,1.8496385425199038,0.2991074451952921,0.3713742332101454,1.4729266600306137,1.4729266600306137
780000,1.5482690365284717,1.5482690365284717,0.25334053771580883,0.25334053771580883,1.4729266600306137,1.4729266600306137
790000,1.8119673542709749,1.6989537895241877,0.26684011132012,0.36098210966674266,1.4729266600306137,1.4729266600306137
800000,1.5859402247774006,1.8119673542709749,0.36718611795801503,0.20602606528831713,1.4729266600306137,1.4729266600306137
810000,1.962652107266691,1.5482690365284717,0.13544020388424313,0.4046961537849659,1.4729266600306137,1.4729266600306137
820000,1.8496385425199038,1.5105978482795426,0.15649164543268637,0.3650143534932414,1.4729266600306137,1.4729266600306137
830000,1.5482690365284717,1.5105978482795426,0.23563338706551187,0.2551312419795833,1.4729266600306137,1.4729266600306137
840000,1.6236114130263297,1.5482690365284717,0.24231065205340752,0.2879620686223454,1.4729266600306137,1.4729266600306137
850000,1.8496385425199038,1.5482690365284717,0.17387917424570032,0.3745756462373602,1.4729266600306137,1.4729266600306137
860000,1.5859402247774006,1.6989537895241877,0.3206809444410617,0.24341292452193403,1.4729266600306137,1.4729266600306137
870000,1.7742961660220458,1.4729266600306137,0.1632234164310471,0.3328140145464146,1.4729266600306137,1.4729266600306137
880000,1.5482690365284717,1.4729266600306137,0.21792448714600277,0.25409096534151626,1.4729266600306137,1.4729266600306137
890000,1.6612826012752586,1.6989537895241877,0.3122056005008669,0.2838314397462228,1.4729266600306137,1.4729266600306137
900000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
910000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
920000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
930000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
940000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
950000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
960000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
970000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
980000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
990000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
1000000,1.6612826012752586,1.6612826012752586,0.2928645637496168,0.2928645637496168,1.4729266600306137,1.4729266600306137
1010000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1020000,1.5859402247774006,1.4729266600306137,0.21211330246106208,0.2690500391025014,1.4729266600306137,1.4729266600306137
1030000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1040000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1050000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1060000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1070000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1080000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1090000,1.5859402247774006,1.4729266600306137,0.21211330246106208,0.2690500391025014,1.4729266600306137,1.4729266600306137
1100000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1110000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1120000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1130000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1140000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1150000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1160000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1170000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1180000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1190000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1200000,1.5482690365284717,1.4352554717816846,0.20041303063995036,0.2500351955978522,1.4729266600306137,1.4729266600306137
1210000,1.4352554717816846,1.4352554717816846,0.20682553070048765,0.20682553070048765,1.4729266600306137,1.4729266600306137
1220000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1230000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1240000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1250000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1260000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1270000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1280000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1290000,1.8496385425199038,1.7366249777731166,0.2723588098943081,0.3710892159745328,1.4729266600306137,1.4729266600306137
1300000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1310000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1320000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1330000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1340000,1.4352554717816846,1.4352554717816846,0.20682553070048765,0.20682553070048765,1.4729266600306137,1.4729266600306137
1350000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
1360000,1.6236114130263297,1.7742961660220458,0.3524812009601933,0.23953158407856437,1.4729266600306137,1.4729266600306137
